 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.217,0.000,0.048,0.132,0.500
model.000.01.pdb,0.308,0.000,0.463,0.180,0.070
model.000.02.pdb,0.756,0.000,0.246,0.137,0.309
model.000.03.pdb,0.217,0.000,0.444,0.222,0.065
model.000.04.pdb,0.145,0.117,0.203,0.064,0.000
