 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.063,0.000,0.228,0.000,0.109
model.000.01.pdb,0.092,0.000,0.049,0.000,0.013
model.000.02.pdb,0.000,0.177,0.418,0.175,0.190
model.000.03.pdb,0.435,0.000,0.000,0.000,0.000
model.000.04.pdb,0.017,0.094,0.145,0.093,0.038
