 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.106,0.511,0.000,0.048,0.000
model.000.01.pdb,0.417,0.000,0.000,0.579,0.015
model.000.02.pdb,0.549,0.121,0.000,0.392,0.013
model.000.03.pdb,0.259,0.000,0.000,0.354,0.014
model.000.04.pdb,0.179,0.000,0.101,0.291,0.185
