 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.054,0.014,0.067,0.373
model.000.01.pdb,0.000,0.014,0.062,0.000,0.089
model.000.02.pdb,0.000,0.241,0.040,0.385,0.560
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.040,0.000,0.163,0.312
