 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.490,0.000,0.135,0.609,0.000
model.000.01.pdb,0.658,0.000,0.233,0.641,0.000
model.000.02.pdb,0.304,0.000,0.500,0.156,0.000
model.000.03.pdb,0.067,0.031,0.154,0.016,0.000
model.000.04.pdb,0.148,0.000,0.025,0.203,0.000
