 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.250,0.037,0.556
model.000.01.pdb,0.365,0.237,0.000,0.214,0.000
model.000.02.pdb,0.013,0.012,0.060,0.160,0.218
model.000.03.pdb,0.000,0.043,0.525,0.012,0.500
model.000.04.pdb,0.458,0.263,0.034,0.167,0.000
