 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.174,0.315,0.800,0.241,0.099
model.000.01.pdb,0.073,0.000,0.000,0.000,0.000
model.000.02.pdb,0.304,0.432,0.281,0.103,0.373
model.000.03.pdb,0.104,0.172,0.149,0.288,0.547
model.000.04.pdb,0.014,0.067,0.321,0.806,0.224
