 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.294,0.241
model.000.01.pdb,0.000,0.000,0.390,0.089,0.148
model.000.02.pdb,0.000,0.000,0.079,0.161,0.327
model.000.03.pdb,0.000,0.000,0.442,0.100,0.155
model.000.04.pdb,0.027,0.064,0.700,0.000,0.014
