 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.604,0.013,0.000,0.063,0.642
model.000.01.pdb,0.469,0.000,0.000,0.000,0.233
model.000.02.pdb,0.214,0.000,0.000,0.340,0.228
model.000.03.pdb,0.000,0.354,0.154,0.078,0.000
model.000.04.pdb,0.518,0.000,0.000,0.063,0.450
