 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.013,0.062,0.628,0.028,0.056
model.000.01.pdb,0.000,0.014,0.429,0.085,0.121
model.000.02.pdb,0.000,0.000,0.111,0.175,0.339
model.000.03.pdb,0.000,0.000,0.000,0.548,0.404
model.000.04.pdb,0.000,0.000,0.136,0.392,0.385
