 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.175,0.197,0.154,0.400
model.000.01.pdb,0.203,0.000,0.036,0.000,0.000
model.000.02.pdb,0.000,0.571,0.365,0.457,0.476
model.000.03.pdb,0.053,0.418,0.153,0.436,0.194
model.000.04.pdb,0.045,0.136,0.059,0.097,0.125
