 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.013,0.000,0.000,0.000,0.000
model.000.01.pdb,0.062,0.014,0.000,0.000,0.000
model.000.02.pdb,0.628,0.429,0.111,0.000,0.136
model.000.03.pdb,0.028,0.085,0.175,0.548,0.392
model.000.04.pdb,0.056,0.121,0.339,0.404,0.385
