 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.133,0.034,0.280
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000
model.000.02.pdb,0.542,0.551,0.102,0.313,0.000
model.000.03.pdb,0.000,0.000,0.200,0.037,0.514
model.000.04.pdb,0.364,0.571,0.119,0.483,0.051
