 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.309,0.000,0.000,0.000,0.000
model.000.01.pdb,0.194,0.000,0.051,0.000,0.014
model.000.02.pdb,0.000,0.235,0.545,0.231,0.341
model.000.03.pdb,0.045,0.264,0.075,0.236,0.105
model.000.04.pdb,0.000,0.333,0.106,0.302,0.231
