 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.030,0.186,0.595,0.051,0.222
model.000.01.pdb,0.224,0.240,0.244,0.072,0.022
model.000.02.pdb,0.040,0.176,0.500,0.095,0.354
model.000.03.pdb,0.000,0.000,0.014,0.000,0.015
model.000.04.pdb,0.014,0.132,0.650,0.023,0.292
