 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.227,0.565,0.014,0.643
model.000.01.pdb,0.227,1.000,0.185,0.000,0.196
model.000.02.pdb,0.565,0.185,1.000,0.012,0.463
model.000.03.pdb,0.014,0.000,0.012,1.000,0.038
model.000.04.pdb,0.643,0.196,0.463,0.038,1.000
