 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.468,0.111,0.451,0.702
model.000.01.pdb,0.000,0.844,0.250,0.524,0.429
model.000.02.pdb,0.213,0.278,0.905,0.156,0.143
model.000.03.pdb,0.585,0.017,0.268,0.016,0.000
model.000.04.pdb,0.092,0.179,0.069,0.340,0.116
