 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,0.000,0.333,0.026,0.677
model.000.02.pdb,0.000,0.000,0.063,0.071,0.189
model.000.03.pdb,0.000,0.000,0.452,0.000,0.462
model.000.04.pdb,0.027,0.164,0.634,0.071,0.500
