 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.373,0.039,0.000,0.380
model.000.01.pdb,0.027,0.258,0.061,0.027,0.242
model.000.02.pdb,0.386,0.000,0.108,0.676,0.016
model.000.03.pdb,0.102,0.015,0.056,0.100,0.000
model.000.04.pdb,0.179,0.000,0.149,0.136,0.000
