 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.219,0.000,0.038,0.000,0.000
model.000.01.pdb,0.000,0.092,0.134,0.075,0.314
model.000.02.pdb,0.015,0.031,0.000,0.031,0.051
model.000.03.pdb,0.000,0.210,0.481,0.206,0.203
model.000.04.pdb,0.111,0.000,0.137,0.000,0.057
