 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.145,0.000,0.038,0.000,0.000
model.000.01.pdb,0.269,0.000,0.000,0.000,0.000
model.000.02.pdb,0.051,0.053,0.102,0.052,0.018
model.000.03.pdb,0.000,0.348,0.241,0.260,0.487
model.000.04.pdb,0.274,0.000,0.025,0.000,0.000
