 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.780,0.000,0.000,0.000
model.000.01.pdb,0.711,0.000,0.211,0.125,0.250
model.000.02.pdb,0.263,0.000,0.067,0.152,0.548
model.000.03.pdb,0.095,0.086,0.197,0.049,0.000
model.000.04.pdb,0.012,0.596,0.000,0.000,0.000
