 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.027
model.000.01.pdb,0.000,0.000,0.000,0.000,0.164
model.000.02.pdb,0.000,0.333,0.063,0.452,0.634
model.000.03.pdb,0.000,0.026,0.071,0.000,0.071
model.000.04.pdb,0.000,0.677,0.189,0.462,0.500
