 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.500,0.139,0.000,0.145
model.000.01.pdb,0.500,1.000,0.286,0.016,0.169
model.000.02.pdb,0.139,0.286,1.000,0.281,0.082
model.000.03.pdb,0.000,0.016,0.281,1.000,0.228
model.000.04.pdb,0.145,0.169,0.082,0.228,1.000
