 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.111,0.500,0.057,0.512
model.000.01.pdb,0.000,0.000,0.341,0.038,0.719
model.000.02.pdb,0.000,0.000,0.095,0.057,0.226
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.000,0.138,0.000,0.127
