 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.150,0.159,0.321
model.000.01.pdb,0.566,0.655,0.056,0.000,0.000
model.000.02.pdb,0.000,0.000,0.245,0.182,0.375
model.000.03.pdb,0.000,0.000,0.074,0.510,0.472
model.000.04.pdb,0.000,0.000,0.000,0.571,0.457
