 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.327,0.172,0.000,0.160,0.000
model.000.01.pdb,0.000,0.000,0.240,0.000,0.261
model.000.02.pdb,0.000,0.068,0.396,0.047,0.500
model.000.03.pdb,0.000,0.000,0.235,0.000,0.255
model.000.04.pdb,0.000,0.000,0.289,0.013,0.500
