 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.031,0.157,0.069,0.000,0.000
model.000.01.pdb,0.056,0.081,0.104,0.000,0.025
model.000.02.pdb,0.463,0.156,0.591,0.014,0.523
model.000.03.pdb,0.000,0.000,0.000,0.551,0.029
model.000.04.pdb,0.000,0.000,0.000,0.426,0.059
