 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.370,0.636,0.093,0.217,0.117
model.000.01.pdb,0.034,0.262,0.000,0.364,0.000
model.000.02.pdb,0.326,0.106,0.383,0.143,0.562
model.000.03.pdb,0.000,0.000,0.047,0.000,0.000
model.000.04.pdb,0.298,0.343,0.093,0.431,0.136
