 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.125,0.000,0.028,0.306,0.032
model.000.01.pdb,0.000,0.118,0.000,0.098,0.333
model.000.02.pdb,0.304,0.000,0.105,0.423,0.042
model.000.03.pdb,0.071,0.041,0.024,0.070,0.013
model.000.04.pdb,0.228,0.000,0.025,0.449,0.029
