 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.133,0.022,0.255
model.000.01.pdb,0.500,0.755,0.087,0.581,0.000
model.000.02.pdb,0.000,0.000,0.224,0.000,0.273
model.000.03.pdb,0.000,0.000,0.075,0.000,0.115
model.000.04.pdb,0.000,0.000,0.000,0.000,0.000
