 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.056,0.000,0.600,0.013
model.000.01.pdb,0.056,1.000,0.000,0.015,0.000
model.000.02.pdb,0.000,0.000,1.000,0.000,0.442
model.000.03.pdb,0.600,0.015,0.000,1.000,0.029
model.000.04.pdb,0.013,0.000,0.442,0.029,1.000
