 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.141,0.204,0.153,0.000,0.096
model.000.01.pdb,0.015,0.000,0.068,0.081,0.027
model.000.02.pdb,0.000,0.000,0.000,0.210,0.000
model.000.03.pdb,0.636,0.231,0.577,0.012,0.756
model.000.04.pdb,0.230,0.196,0.308,0.000,0.139
