 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.105,0.026,0.224,0.000,0.037
model.000.01.pdb,0.066,0.125,0.000,0.488,0.018
model.000.02.pdb,0.057,0.169,0.038,0.000,0.000
model.000.03.pdb,0.164,0.013,0.412,0.000,0.213
model.000.04.pdb,0.143,0.111,0.059,0.658,0.118
