 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.045,0.000,0.000,0.015,0.033
model.000.01.pdb,0.000,0.378,0.558,0.340,0.611
model.000.02.pdb,0.000,0.106,0.130,0.072,0.302
model.000.03.pdb,0.000,0.558,0.500,0.511,0.432
model.000.04.pdb,0.000,0.197,0.529,0.194,0.327
