 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.062,0.000
model.000.01.pdb,0.271,0.354,0.154,0.082,0.600
model.000.02.pdb,0.739,0.591,0.159,0.014,0.167
model.000.03.pdb,0.267,0.320,0.118,0.081,0.622
model.000.04.pdb,0.420,0.649,0.340,0.069,0.153
