 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.014,0.345,0.000,0.000,0.000
model.000.01.pdb,0.024,0.492,0.000,0.000,0.000
model.000.02.pdb,0.082,0.103,0.164,0.025,0.000
model.000.03.pdb,0.000,0.283,0.000,0.000,0.000
model.000.04.pdb,0.000,0.145,0.057,0.000,0.000
