 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.014,0.000,0.000,0.395,0.000
model.000.01.pdb,0.185,0.362,0.053,0.000,0.305
model.000.02.pdb,0.062,0.014,0.000,0.164,0.000
model.000.03.pdb,0.013,0.000,0.135,0.271,0.027
model.000.04.pdb,0.226,0.260,0.204,0.000,0.382
