 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.045,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,0.378,0.106,0.558,0.197
model.000.02.pdb,0.000,0.558,0.130,0.500,0.529
model.000.03.pdb,0.015,0.340,0.072,0.511,0.194
model.000.04.pdb,0.033,0.611,0.302,0.432,0.327
