 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.027
model.000.01.pdb,0.000,0.000,0.000,0.000,0.064
model.000.02.pdb,0.000,0.390,0.079,0.442,0.700
model.000.03.pdb,0.294,0.089,0.161,0.100,0.000
model.000.04.pdb,0.241,0.148,0.327,0.155,0.014
