 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.455,0.489,0.167,0.000,0.633
model.000.01.pdb,0.640,0.380,0.250,0.000,0.577
model.000.02.pdb,0.060,0.000,0.350,0.120,0.076
model.000.03.pdb,0.621,0.397,0.069,0.000,0.403
model.000.04.pdb,0.015,0.000,0.042,0.209,0.000
