 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.089,0.000
model.000.01.pdb,0.000,0.000,0.019,0.366,0.000
model.000.02.pdb,0.012,0.000,0.000,0.367,0.000
model.000.03.pdb,0.000,0.000,0.113,0.245,0.000
model.000.04.pdb,0.108,0.000,0.275,0.098,0.079
