 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.145,0.269,0.051,0.000,0.274
model.000.01.pdb,0.000,0.000,0.053,0.348,0.000
model.000.02.pdb,0.038,0.000,0.102,0.241,0.025
model.000.03.pdb,0.000,0.000,0.052,0.260,0.000
model.000.04.pdb,0.000,0.000,0.018,0.487,0.000
