 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.469,0.123,0.640,0.024,0.580
model.000.01.pdb,0.170,0.019,0.309,0.057,0.278
model.000.02.pdb,0.029,0.000,0.093,0.120,0.053
model.000.03.pdb,0.000,0.000,0.000,0.364,0.000
model.000.04.pdb,0.131,0.000,0.097,0.500,0.206
