 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.105,0.066,0.057,0.164,0.143
model.000.01.pdb,0.026,0.125,0.169,0.013,0.111
model.000.02.pdb,0.224,0.000,0.038,0.412,0.059
model.000.03.pdb,0.000,0.488,0.000,0.000,0.658
model.000.04.pdb,0.037,0.018,0.000,0.213,0.118
