 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.271,0.739,0.267,0.420
model.000.01.pdb,0.000,0.354,0.591,0.320,0.649
model.000.02.pdb,0.000,0.154,0.159,0.118,0.340
model.000.03.pdb,0.062,0.082,0.014,0.081,0.069
model.000.04.pdb,0.000,0.600,0.167,0.622,0.153
