 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.044,0.000,0.095,0.092,0.099
model.000.01.pdb,0.130,0.207,0.143,0.000,0.090
model.000.02.pdb,0.125,0.000,0.141,0.190,0.273
model.000.03.pdb,0.014,0.000,0.024,0.706,0.108
model.000.04.pdb,0.000,0.000,0.000,0.382,0.014
