 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.125,0.000,0.304,0.071,0.228
model.000.01.pdb,0.000,0.118,0.000,0.041,0.000
model.000.02.pdb,0.028,0.000,0.105,0.024,0.025
model.000.03.pdb,0.306,0.098,0.423,0.070,0.449
model.000.04.pdb,0.032,0.333,0.042,0.013,0.029
