 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.000,0.333,0.151,0.281
model.000.01.pdb,0.000,1.000,0.000,0.000,0.000
model.000.02.pdb,0.333,0.000,1.000,0.310,0.182
model.000.03.pdb,0.151,0.000,0.310,1.000,0.305
model.000.04.pdb,0.281,0.000,0.182,0.305,1.000
