 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.327,0.169,0.000,0.564
model.000.01.pdb,0.327,1.000,0.018,0.000,0.377
model.000.02.pdb,0.169,0.018,1.000,0.000,0.190
model.000.03.pdb,0.000,0.000,0.000,1.000,0.000
model.000.04.pdb,0.564,0.377,0.190,0.000,1.000
