 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.440,0.000,0.339,0.281,0.000
model.000.01.pdb,0.000,0.095,0.068,0.000,0.030
model.000.02.pdb,0.000,0.268,0.000,0.045,0.458
model.000.03.pdb,0.641,0.000,0.316,0.383,0.000
model.000.04.pdb,0.045,0.143,0.080,0.076,0.183
