 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.172,0.429,0.255,0.224,0.122
model.000.01.pdb,0.312,0.410,0.027,0.719,0.029
model.000.02.pdb,0.041,0.147,0.595,0.023,0.260
model.000.03.pdb,0.558,0.255,0.000,0.191,0.000
model.000.04.pdb,0.089,0.189,0.444,0.042,0.067
