 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.549,0.673,0.043,0.000,0.000
model.000.01.pdb,0.467,0.451,0.000,0.000,0.000
model.000.02.pdb,0.107,0.077,0.222,0.000,0.000
model.000.03.pdb,0.000,0.000,0.118,0.220,0.409
model.000.04.pdb,0.612,0.500,0.043,0.000,0.000
