 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.241,0.271,0.250,0.000,0.000
model.000.01.pdb,0.431,0.542,0.027,0.000,0.000
model.000.02.pdb,0.014,0.025,0.545,0.000,0.000
model.000.03.pdb,0.435,0.276,0.000,0.000,0.000
model.000.04.pdb,0.053,0.046,0.325,0.000,0.000
