 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.333,0.000,0.431,0.217,0.000
model.000.01.pdb,0.000,0.266,0.023,0.026,0.290
model.000.02.pdb,0.391,0.000,0.103,0.413,0.000
model.000.03.pdb,0.188,0.040,0.074,0.185,0.013
model.000.04.pdb,0.121,0.015,0.169,0.065,0.000
