 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.121,0.000,0.390,0.035,0.088
model.000.01.pdb,0.179,0.039,0.581,0.000,0.245
model.000.02.pdb,0.151,0.000,0.288,0.045,0.105
model.000.03.pdb,0.000,0.000,0.000,0.164,0.000
model.000.04.pdb,0.066,0.000,0.306,0.138,0.066
