 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.304,0.435,0.110,0.286,0.158
model.000.01.pdb,0.015,0.050,0.041,0.000,0.000
model.000.02.pdb,0.000,0.000,0.000,0.000,0.000
model.000.03.pdb,0.263,0.035,0.778,0.029,0.477
model.000.04.pdb,0.531,0.517,0.186,0.175,0.172
