 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.188,0.000
model.000.01.pdb,0.157,0.000,0.278,0.060,0.269
model.000.02.pdb,0.014,0.000,0.067,0.108,0.027
model.000.03.pdb,0.306,0.037,0.298,0.118,0.449
model.000.04.pdb,0.628,0.170,0.739,0.012,0.571
