 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.169,0.197,0.370
model.000.01.pdb,0.000,0.000,0.000,0.417,0.232
model.000.02.pdb,0.490,0.373,0.065,0.000,0.000
model.000.03.pdb,0.000,0.027,0.271,0.121,0.245
model.000.04.pdb,0.451,0.547,0.117,0.000,0.000
