 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000
model.000.01.pdb,0.111,0.000,0.000,0.000,0.000
model.000.02.pdb,0.500,0.341,0.095,0.000,0.138
model.000.03.pdb,0.057,0.038,0.057,0.000,0.000
model.000.04.pdb,0.512,0.719,0.226,0.000,0.127
