 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,1.000,0.279,0.273,0.089,0.279
model.000.01.pdb,0.279,1.000,0.036,0.132,0.060
model.000.02.pdb,0.273,0.036,1.000,0.030,0.537
model.000.03.pdb,0.089,0.132,0.030,1.000,0.059
model.000.04.pdb,0.279,0.060,0.537,0.059,1.000
