 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.125
model.000.01.pdb,0.228,0.250,0.810,0.129,0.118
model.000.02.pdb,0.757,0.000,0.268,0.000,0.000
model.000.03.pdb,0.000,0.255,0.039,0.396,0.600
model.000.04.pdb,0.000,0.043,0.012,0.055,0.221
