 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.217,0.308,0.756,0.217,0.145,0.101,0.136,0.388,0.022,0.000,0.092,0.122,0.114,0.259,0.000
model.000.01.pdb,0.000,0.000,0.000,0.000,0.117,0.146,0.000,0.000,0.556,0.051,0.000,0.125,0.104,0.000,0.655
model.000.02.pdb,0.048,0.463,0.246,0.444,0.203,0.162,0.457,0.176,0.000,0.000,0.154,0.210,0.228,0.463,0.000
model.000.03.pdb,0.132,0.180,0.137,0.222,0.064,0.034,0.549,0.161,0.000,0.234,0.673,0.061,0.065,0.180,0.000
model.000.04.pdb,0.500,0.070,0.309,0.065,0.000,0.000,0.214,0.605,0.000,0.079,0.357,0.000,0.000,0.070,0.000
model.000.05.pdb,0.145,0.320,0.222,0.315,0.132,0.090,0.587,0.222,0.000,0.043,0.397,0.125,0.134,0.320,0.000
model.000.06.pdb,0.000,0.000,0.000,0.000,0.090,0.125,0.000,0.000,0.214,0.095,0.000,0.085,0.161,0.000,0.472
model.000.07.pdb,0.193,0.260,0.345,0.214,0.057,0.025,0.373,0.370,0.000,0.014,0.300,0.054,0.058,0.212,0.000
model.000.08.pdb,0.000,0.185,0.014,0.327,0.500,0.431,0.145,0.000,0.130,0.000,0.053,0.386,0.609,0.231,0.159
model.000.09.pdb,0.000,0.091,0.092,0.055,0.239,0.319,0.000,0.000,0.583,0.000,0.000,0.243,0.093,0.075,0.257
model.000.10.pdb,0.296,0.066,0.188,0.094,0.000,0.000,0.412,0.383,0.000,0.143,0.600,0.000,0.014,0.066,0.000
model.000.11.pdb,0.000,0.400,0.104,0.417,0.805,0.673,0.148,0.000,0.117,0.000,0.026,0.660,0.521,0.432,0.039
model.000.12.pdb,0.304,0.062,0.145,0.090,0.013,0.012,0.415,0.308,0.000,0.210,0.729,0.012,0.026,0.062,0.000
model.000.13.pdb,0.000,0.421,0.083,0.686,0.250,0.237,0.356,0.019,0.000,0.000,0.131,0.255,0.362,0.500,0.000
model.000.14.pdb,0.000,0.076,0.093,0.041,0.262,0.324,0.000,0.000,0.649,0.000,0.000,0.246,0.174,0.060,0.243
