 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.014,0.000,0.046
model.000.01.pdb,0.157,0.000,0.278,0.060,0.269,0.000,0.082,0.255,0.226,0.000,0.000,0.000,0.000,0.000,0.000
model.000.02.pdb,0.014,0.000,0.067,0.108,0.027,0.000,0.027,0.027,0.086,0.000,0.000,0.000,0.000,0.000,0.000
model.000.03.pdb,0.306,0.037,0.298,0.118,0.449,0.000,0.109,0.327,0.400,0.000,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.628,0.170,0.739,0.012,0.571,0.000,0.400,0.562,0.118,0.081,0.000,0.000,0.000,0.000,0.000
model.000.05.pdb,0.592,0.186,0.833,0.011,0.545,0.027,0.545,0.537,0.105,0.103,0.025,0.000,0.000,0.013,0.000
model.000.06.pdb,0.119,0.000,0.101,0.472,0.197,0.000,0.014,0.127,0.565,0.000,0.000,0.049,0.000,0.000,0.029
model.000.07.pdb,0.000,0.000,0.000,0.224,0.000,0.000,0.000,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.016
model.000.08.pdb,0.155,0.175,0.227,0.000,0.099,0.350,0.369,0.145,0.000,0.179,0.359,0.000,0.128,0.270,0.000
model.000.09.pdb,0.000,0.018,0.000,0.258,0.000,0.048,0.000,0.000,0.059,0.068,0.044,0.455,0.200,0.067,0.628
model.000.10.pdb,0.042,0.000,0.024,0.830,0.066,0.000,0.000,0.026,0.356,0.000,0.000,0.161,0.000,0.000,0.164
model.000.11.pdb,0.542,0.138,0.714,0.012,0.558,0.014,0.473,0.463,0.096,0.060,0.013,0.000,0.000,0.000,0.000
model.000.12.pdb,0.533,0.271,0.519,0.025,0.617,0.015,0.333,0.721,0.172,0.158,0.014,0.015,0.000,0.015,0.000
model.000.13.pdb,0.204,0.020,0.353,0.060,0.347,0.000,0.119,0.333,0.250,0.000,0.000,0.000,0.000,0.000,0.000
model.000.14.pdb,0.103,0.367,0.104,0.000,0.093,0.542,0.206,0.143,0.000,0.440,0.538,0.141,0.350,0.490,0.113
